BSU ,GeneID,Operon
BSU00700,coaX,1
BSU00710,yacC,1
BSU00720,yacD,1
BSU00730,cysK,1
BSU30500,ytpB,2
BSU38499,ywzH,3
BSU38500,dltA,3
BSU38510,dltB,3
BSU38520,dltC,3
BSU38530,dltD,3
BSU38540,dltE,3
BSU03250,ycgR,4
BSU03240,ycgQ,4
BSU21920,ugtP,5
BSU38280,efeU,6
BSU38270,efeO,6
BSU38260,efeB,6
BSU00670,tilS,7
BSU00680,hprT,7
BSU00690,ftsH,7
BSU00570,yabM,8
BSU00580,yabN,8
BSU00590,yabO,8
BSU00600,yabP,8
BSU00610,yabQ,8
BSU00620,divlC,8
BSU00630,yabR,8
BSU00830,ctsR,9
BSU00840,mcsA,9
BSU00850,mcsB,9
BSU00860,clpC,9
BSU00870,radA,9
BSU00880,disA,9
BSU06380,yebC,10
BSU15220,murG,11
BSU15230,murB,11
BSU15240,divlB,11
BSU15250,ylxW,11
BSU15260,ylxX,11
BSU15270,sbp,11
BSU23370,ypuA,12
BSU27180,yrhH,13
BSU27170,fatR,14
BSU27160,yrhJ,14
BSU35650,tagU,15
BSU11500,spx,16
BSU02890,yceC,17
BSU02900,yceD,17
BSU02910,yceE,17
BSU02920,yceF,17
BSU02930,yceG,17
BSU02940,yceH,17
BSU35840,tagT,18
BSU28030,mreB,19
BSU28020,mreC,19
BSU28010,mreD,19
BSU28000,minC,19
BSU27990,minD,19
BSU09520,sigM,20
BSU09510,yhdL,20
BSU09500,yhdK,20
BSU27660,comN,21
BSU27650,secDF,21
BSU21910,metA,22
BSU21920,ugtP,22
BSU27020,yraA,23
BSU18170,yngA,24
BSU18180,yngB,24
BSU18190,yngC,24
BSU36380,rapD,25
BSU38120,rodA,26
BSU36540,ywnJ,27
BSU30510,ytbA,28
BSU30500,ytpB,28
BSU38260,efeB,29
BSU38250,ywbO,29
BSU07260,yfnI,30
BSU23830,yqjL,31
BSU16950,pbpX,32
BSU22980,ypbG,33
BSU23300,ypuD,34
BSU38480,sasA,35
BSU04560,ddl,36
BSU04570,murF,36
BSU14480,abh,37
BSU36530,bcrC,38
BSU04230,amj,39
BSU35840,tagT,40
BSU35850,ywtE,40
BSU28050,maf,41
BSU28040,radC,41
BSU28030,mreB,41
BSU28020,mreC,41
BSU28010,mreD,41
BSU28000,minC,41
BSU27990,minD,41
BSU00890,yacL,42
BSU00900,ispD,42
BSU00910,ispF,42
BSU11490,yjbC,43
BSU11500,spx,43
BSU00700,coaX,44
BSU00710,yacC,44
BSU22310,recU,45
BSU22320,ponA,45